	6802	8468	10742	60961	91466	114850	115269	158692	164619	165549	234566	237332	432450	441905	441921	441922	441923	442827	1794427	3084742	5280372	5280378	5316860	5318565	6369123	6603787	9576780	9898279	12855889	12855925	24721085	53486398	71571502
1	4860	7068	8435	6036	1137	1137	1137	486	4153	1137	43	6256	486	486	486	486	486	7941	7068	7941	7941	8435	7941	1312	279	7274	4153	486	486	486	1137	486	8435
2	7053	6256	6646	1633	89832	89832	89832	476	5657	89832	1137	5465	476	476	476	7274	7274	4625	6256	1269	7068	2101	1269	7068	280	3501	280	476	476	476	89832	476	6646
3	9367	7067	9262	2180	1803	2557	2557	290	412	1803	89832	8648	7274	290	7274	476	476	5020	8648	6890	154	7068	154	8435	4153	4306	360203	7274	7274	7274	2557	290	4547
4	6009	6258	6256	6240	2557	1803	2898	7274	2629	2557	2557	8204	290	7274	290	915	915	2100	2101	81551	6890	8648	7068	6256	5406	915	6391	290	290	290	2898	7274	5034
5	7284	8435	7068	50484	2898	2898	2891	200931	10423	2898	2898	7068	915	200931	915	290	290	6890	7067	2101	2101	9971	6890	7067	1208	1329	1208	915	915	915	2891	200931	9262
6	5337	8648	2739	5426	2901	2901	2901	915	713	2901	2558	5469	200931	915	200931	200931	200931	190	9971	4985	10057	4625	2101	5126	94233	3460	94233	200931	200931	200931	2901	915	6286
7	6915	9971	5034	3094	2900	2900	2900	3460	4883	2900	2891	6258	3460	3460	3460	3460	3460	1374	6286	10057	9971	2100	3360	1269	6391	1345	713	3460	3460	3460	2558	3460	7153
8	2987	5126	7067	9061	3627	2554	2558	347733	250	3627	2556	5468	347733	347733	347733	347733	347733	2101	8204	7068	3360	6095	10057	8204	6392	3416	10747	347733	347733	347733	2900	347733	8644
9	122622	8204	8648	2584	6352	6352	2555	635	30835	6352	2554	7067	635	635	635	635	635	10057	7941	190	8204	6256	3553	6258	713	291	538	635	635	635	2555	635	7155
10	5868	5914	3141	56655	2554	2895	2556	291	4353	2554	2555	5707	2168	291	573	573	573	1269	10499	9971	6256	7067	155	8648	538	635	4883	2168	2168	573	2556	291	2110
11	3094	6646	9971	11004	2895	3627	2895	2168	1511	2895	2901	4625	573	2168	4312	2168	2168	5469	5469	2770	190	5020	8435	4625	8513	2908	5406	573	4312	4312	2895	2168	506
12	221079	5465	506	270	2556	2558	43	4312	1583	2556	2900	5020	4312	4312	2168	4312	4312	81551	6890	547	7067	10499	9971	5469	10747	3146	6392	4312	573	2168	2554	4312	217
13	382	6257	5465	107	2558	2556	2554	2908	51022	2558	2895	1854	2908	2908	2908	2908	2908	8204	5707	2099	3553	196	6256	6646	7386	1346	30835	2908	2908	2908	6718	2908	3065
14	3688	8841	6258	5427	2555	2555	6718	3416	10747	2555	4986	190	291	573	291	291	291	1024	190	4625	155	6646	8204	9971	27089	1349	27089	291	291	291	6715	573	5292
15	2664	5469	8841	487	2891	2891	6715	1345	79731	2891	351	6286	4306	3416	4306	4306	4306	4985	1854	1786	5469	2099	190	8841	4883	2172	7386	4306	4306	4306	2890	3416	5294
16	7879	5916	4625	5565	5534	2890	2890	4306	2205	5534	4988	2100	3416	4306	3416	3416	3416	9971	6195	8204	153	1374	7067	4282	7384	347733	712	3416	3416	3416	43	4306	6256
17	191	2101	5707	6035	920	5534	3359	7133	3456	920	4985	5467	7915	7915	7915	7915	7915	2099	2099	5469	2099	2516	5469	9262	6010	9377	7384	7915	7915	7915	2892	7915	3141
18	375	5467	5468	5985	2890	920	2892	573	712	2890	8851	2101	52	52	52	52	52	7068	5468	4986	1854	5914	153	5020	30835	4513	6010	52	52	52	1143	52	23541
19	51762	5915	2101	7203	7852	1141	1143	7915	716	7852	157	1374	2288	3146	2288	2288	2288	1786	5914	7067	1786	1024	2099	2101	29796	5165	8513	2288	2288	2288	1381	3146	4625
20	2762	5468	3704	54107	1141	8573	1381	52	10267	1141	2890	9971	4087	7133	4087	5469	5469	4642	5126	6195	547	3174	6195	7941	7385	2168	475	4087	4087	4087	1141	7133	1024
21	3799	5707	5467	90459	8573	7852	1141	3146	715	8573	1381	2168	3146	2288	5469	3146	3146	547	6646	2100	6195	190	1854	1024	1537	573	7385	3146	920	5469	2149	2288	7068
22	6241	4625	8204	1363	2892	176	5534	2288	414308	2892	2892	1024	5469	4087	3146	920	920	2770	6258	7153	10499	7941	1786	6286	475	367	6389	5469	3146	3146	5534	4087	8648
23	51128	5742	5292	5334	1143	2892	1813	4087	3938	1143	5534	8841	920	920	920	4087	4087	6195	10057	3065	8648	6890	547	5914	6389	5901	29796	920	4322	920	3359	920	6273
24	328	2100	6286	7314	10295	1143	5562	1346	8411	10295	5562	5126	4322	4322	4322	4322	4322	7067	547	5020	2100	5707	4625	2100	360203	1181	1537	4322	5469	4322	5562	4322	8732
25	873	5743	5126	54822	5295	4327	8573	1349	1991	5295	1813	6257	2244	5901	8204	8204	8204	3065	2100	1854	8503	4642	2100	3141	712	7915	10267	2244	2244	8204	8573	5901	9429
26	5879	10062	5914	31	4317	10893	1504	2172	2990	4317	1143	1645	8204	9252	2244	2244	2244	8503	155	8503	4985	8204	4985	6567	10267	4312	3456	8204	7133	2244	7056	9252	7067
