EntrezID	GeneSymbol	Score	Druggble_rank
340024	SLC6A19	0.298404	
8435	SOAT2	0.270852	1
170591	S100Z	0.191903	
1352	COX10	0.184241	
6646	SOAT1	0.176640	2
83394	PITPNM3	0.155247	
6286	S100P	0.153618	3
55388	MCM10	0.152653	
57605	PITPNM2	0.151319	
10240	MRPS31	0.143000	
6166	RPL36AL	0.141473	
55037	PTCD3	0.141165	
896	CCND3	0.140967	
140886	PABPC5	0.140848	
286827	TRIM59	0.140848	
9219	MTA2	0.140352	
56829	ZC3HAV1	0.139808	
404636	FAM45A	0.139624	
27336	HTATSF1	0.138223	
23543	RBFOX2	0.138172	
29079	MED4	0.138108	
135112	NCOA7	0.136935	
1834	DSPP	0.136499	
3275	PRMT2	0.136168	
4298	MLLT1	0.136020	
1677	DFFB	0.135971	
51634	RBMX2	0.135576	
140469	MYO3B	0.135125	
51116	MRPS2	0.133183	
124790	HEXIM2	0.131549	
9440	MED17	0.131293	
728294	D2HGDH	0.130767	
9581	PREPL	0.130717	
56945	MRPS22	0.130400	
5042	PABPC3	0.130286	
23116	FAM179B	0.129573	
5630	PRPH	0.129430	
51574	LARP7	0.129105	
30836	DNTTIP2	0.128943	
51676	ASB2	0.128616	
64960	MRPS15	0.128555	
83473	KATNAL2	0.128434	
146850	PIK3R6	0.128050	
441089		0.128019	
64969	MRPS5	0.127591	
124641	OVCA2	0.127542	
9968	MED12	0.127538	
11064	CNTRL	0.127504	
6720	SREBF1	0.127478	
6192	RPS4Y1	0.127355	
54502	RBM47	0.127355	
57568	SIPA1L2	0.127355	
57644	MYH7B	0.127355	
79809	TTC21B	0.127355	
254427	PROSER2	0.127355	
348158	ACSM2B	0.127355	
375287	RBM43	0.127355	
399671	HEATR4	0.127355	
645683		0.127355	
100271840		0.127355	
29903	CCDC106	0.127289	
10529	NEBL	0.127278	
9862	MED24	0.127272	
25930	PTPN23	0.127253	
56164	STK31	0.126941	
23529	CLCF1	0.126801	
284403	WDR62	0.126794	
2312	FLG	0.126464	
10011	SRA1	0.126349	
6699	SPRR1B	0.125931	
6256	RXRA	0.125857	4
54896	PQLC2	0.125594	
386607		0.125576	
4744	NEFH	0.125449	
4622	MYH4	0.125447	
8735	MYH13	0.125399	
130507	UBR3	0.124801	
124245	ZC3H18	0.124490	
9412	MED21	0.124252	
374920	C19orf68	0.124010	
6601	SMARCC2	0.123973	
114294	LACTB	0.123942	
29855	UBN1	0.123849	
26168	SENP3	0.123840	
27288	RBMXL2	0.123537	
8648	NCOA1	0.123142	5
7068	THRB	0.123089	6
8568	RRP1	0.123041	
1024	CDK8	0.122459	7
23130	ATG2A	0.122457	
84129	ACAD11	0.122246	
5304	PIP	0.122015	
50809	HP1BP3	0.121983	
6123	RPL3L	0.121431	
2713		0.121342	
9262	STK17B	0.121227	8
57619	SHROOM3	0.121164	
5034	P4HB	0.120930	9
6838	SURF6	0.120675	
220108	FAM124A	0.120606	
649330		0.120398	
79447	PAGR1	0.120337	
2101	ESRRA	0.120219	10
53335	BCL11A	0.120019	
7067	THRA	0.119786	11
4625	MYH7	0.119312	12
22913	RALY	0.119256	
116092	DNTTIP1	0.119203	
23107	MRPS27	0.119014	
4620	MYH2	0.119005	
27332	ZNF638	0.118725	
400673	VMAC	0.118153	
4616	GADD45B	0.118080	
5349	FXYD3	0.117904	
23076	RRP1B	0.117721	
127018	LYPLAL1	0.117160	
29028	ATAD2	0.116711	
6605	SMARCE1	0.116672	
85366	MYLK2	0.116657	
57109	REXO4	0.116106	
23082	PPRC1	0.116047	
9971	NR1H4	0.115955	13
10614	HEXIM1	0.115556	
339967	TMPRSS11A	0.115552	
94137	RP1L1	0.115539	
10521	DDX17	0.115495	
10498	CARM1	0.115476	
4641	MYO1C	0.115326	
9509	ADAMTS2	0.115252	
6238	RRBP1	0.115105	
